Year,Make,Model,Variant,Kilometers Driven,Fuel Type,Owner,Price,EMI
2017,Maruti,Baleno,ZETA CVT PETROL 1.2,"1,12,062 km",Petrol,1st owner,₹5.82L,"EMI ₹12,951/m"
2023,Maruti,Grand,Vitara DELTA SMART HYBRID,"28,842 km",Petrol,1st owner,₹12.10L,"EMI ₹23,031/m"
2022,Maruti,Ertiga,VXI AT SHVS,"35,378 km",Petrol,1st owner,₹10.34L,"EMI ₹19,681/m"
2017,Ford,Ecosport,TITANIUM 1.5L DIESEL,"93,259 km",Diesel,1st owner,₹6.61L,"EMI ₹12,923/m"
2016,Maruti,Vitara,Brezza ZDI,"76,173 km",Diesel,1st owner,₹7.62L,"EMI ₹14,902/m"
2022,Mahindra,XUV700,AX 5 D MT 5 STR,"29,358 km",Diesel,1st owner,₹17.60L,"EMI ₹33,500/m"
2017,Hyundai,Elite,i20 ASTA 1.2 DUAL TONE,"79,690 km",Petrol,1st owner,₹6.36L,"EMI ₹12,442/m"
2016,Maruti,Swift,ZXI,"77,053 km",Petrol,1st owner,₹5.18L,"EMI ₹10,127/m"
2017,Maruti,Swift,VXI,"25,847 km",Petrol,2nd owner,₹5.45L,"EMI ₹10,655/m"
2019,Honda,Amaze,1.2L I-VTEC VX,"37,615 km",Petrol,1st owner,₹6.95L,"EMI ₹13,591/m"
2020,Ford,Ecosport,TITANIUM 1.5 SPORTS(SUNROOF) PETROL,"60,856 km",Petrol,1st owner,₹10.13L,"EMI ₹19,275/m"
2020,Tata,NEXON,XZA PLUS PETROL,"32,729 km",Petrol,1st owner,₹8.72L,"EMI ₹16,598/m"
2020,Tata,NEXON,XZ PLUS PETROL,"75,042 km",Petrol,1st owner,₹7.93L,"EMI ₹15,499/m"
2019,Hyundai,NEW,SANTRO ERA EXECUTIVE,"52,881 km",Petrol,1st owner,₹4.28L,"EMI ₹8,358/m"
